상품ID,상품명,노출수,클릭수,클릭율,CPC적용수수료,CPC클릭당수수료
20250902_LSR_TOKY_RAN_0001,일본 자유 인천출발 항공권 준비물 디즈니랜드 여행,1,0,0.0,0,0.0
20250901_LSR_HANOI_ICMKK_0019,인천출발 동남아 베트남 패키지 직항 날씨 일정 하롱베이,1,0,0.0,0,0.0
20250901_LSR_BALI_MMK_0008,발리 날씨 동남아 인도네시아 리조트 일정 여행 직항,1,0,0.0,0,0.0
20250829_LSR_BANGK_MSMW_0006,방콕 여행 추석연휴 태국 가을 패키지 항공권,1,0,0.0,0,0.0
20250829_LSR_PHUKET_MFLTLF_16,푸껫 쇼핑 태국 항공권 빅부다 여행 빠통비치 호텔 숙소 날씨 마사지,1,0,0.0,0,0.0
20250902_LSR_VANGV_MKR_0001,방비엥 날씨 전망대 라오스 리조트 남송강 해외 블루라군,1,0,0.0,0,0.0
20250829_CS_NG_GPT_0005,캐나다 미국 미동부 나이아가라 나이아가라폭포 인천출발 2026년 패키지 가족여행,1,0,0.0,0,0.0
20250829_CS_VC_CMK_0019,캐나다여행 밴쿠버 패키지 여행 로키산맥 국적기 대한항공 아시아나항공,1,0,0.0,0,0.0
20250829_CS_HL_MKL_0010,이올라니궁전 알로하타워 진주만 하와이 패키지 아시아나항공 효도여행,4,0,0.0,0,0.0
20250829_KTM_HONGKONG_ML_0013,홍콩 비행시간 직항 관광 날씨 커플 야경 마카오 여행 먹거리 가격 트램,1,0,0.0,0,0.0
20250829_CS_NG_OT_0016,미극 나이아거라 개나다 미동부 09월 패키쥐 여헹코스 인쳔출발 6월 효도여헹,1,0,0.0,0,0.0
20250829_CS_LA_SNK_0015,가을 로스앤젤레스 미주여행 자유여행 일정 인천출발 대한항공,1,0,0.0,0,0.0
20250902_LSR_TOKY_HMR_0018,하코네 하코네신사 후지산 아시노호 해외 일정 일본,1,0,0.0,0,0.0
20250829_LDW_QZT_SNM_0015,뉴질랜드 효도여행 패키지 패키지 하나투어 명소 퀸즈타운,1,0,0.0,0,0.0
20250902_LSR_OSAK_MMK_0015,오사카 직항 날씨 일본 리조트 여행 일정 패키지 해외,1,0,0.0,0,0.0
20250829_LDW_GUAM_MKL_0011,괌 패키지 PIC 차모로빌리지 추석 라떼스톤공원 여행,1,1,100.0,53,53.0
20250829_CS_SA4C_DMK_0003,남미여행 패키지 2025년12월 인천출발 마추픽추 모레노빙하 아르헨티나 볼리비아 페루,1,0,0.0,0,0.0
20250829_LDW_GUAM_DMK_0053,12월 사이판 괌 여행 PIC 추석,1,0,0.0,0,0.0
20250902_LSR_FUKYO_NMKRT_0008,11월 여행 직항 해외 후쿠오카타워 날씨 일본여행,1,0,0.0,0,0.0
20250829_LSR_BANGK_MSMW_0020,방콕 항공권 여행 태국 리조트 해외 패키지 9월,1,0,0.0,0,0.0
20250901_LSR_DANA_MKRUT_0005,다낭 참조각박물관 용다리 여행 항공권 베트남 동남아,1,0,0.0,0,0.0
20250829_LDW_SYDNEY_GPT_0015,호주 시드니 효도여행 패키지 3박4일,1,0,0.0,0,0.0
20250829_LDW_SYDNEY_GPT_0005,호주 시드니 허니문 여행패키지 리조트 포함,1,1,100.0,53,53.0
20250829_LDW_SYDNEY_CMK_0007,호주 가족 투어 시드니 패키지 여행 6박7일,1,0,0.0,0,0.0
20250901_LSR_PHUQU_NMKTF_0011,11월 동남아 항공권 여행 푸꾸옥 해외 직항 일정,2,0,0.0,0,0.0
20250829_LDW_QZT_SNK_0015,퀸즈타운 하나투어 여행 뉴질랜드 여름 휴일 패키지,1,0,0.0,0,0.0
20250829_KTM__SWISS_DMK_0062,12월 서유럽 취리히 숙소 가격 9박11일 항공권,1,0,0.0,0,0.0
20250902_LSR_FUKYO_RAN_0019,일본여행 리조트 패키지 항공권 오사카 해외 여행 직항,1,0,0.0,0,0.0
20250829_KTM__FRANCE_MKL_0013,프랑스 관광 여행 삘라사구 오르세미술관 직항 툴루즈,1,0,0.0,0,0.0
20250901_LSR_KOTAKI_MKLKLO_0013,코타키나발루 호핑투어 직항 야시장 선셋 날씨 야시장 패키지 여행 해외,1,0,0.0,0,0.0
20250902_LSR_OSAK_MMK_0019,오사카 리조트 항공권 날씨 여행 일정 일본 해외 직항,1,0,0.0,0,0.0
20250901_LSR_PHUQU_DMKTF_0006,12월 푸꾸옥 여행 날씨 항공권 직항 동남아 3박5일,2,0,0.0,0,0.0
20250902_LSR_BEPP_MKLKSH_0005,벳부 일본 직항 항공권 커플여행 리조트 에어텔 날씨,1,0,0.0,0,0.0
20250902_LSR_VANGV_DMKTF_0010,12월 라오스 해외 일정 항공권 날씨 방비엥 4박6일,1,0,0.0,0,0.0
20250902_LSR_OSAK_MKLKLO_0017,오사카 패키지 간사이공항 나라 교토 날씨 항공권 온천 에어텔 해외 우메다,1,0,0.0,0,0.0
20250829_CS_SF_SNK_0008,샌프란시스코여행 미주여행 그랜드캐년 미국서부여행 라스베가스여행 투어 아시아나항공,1,0,0.0,0,0.0
20250902_LSR_OSAK_MKLKLO_0018,오사카 우메다 간사이공항 에어텔 직항 여행 나라 항공권 교토 온천 패키지,1,0,0.0,0,0.0
20250829_LDW_QZT_MKL_0018,뉴질랜드 애로우타운 패키지 스카이라인 퀸즈타운 가족여행 여행,1,0,0.0,0,0.0
20250901_LSR_CEBU_MMK_0011,세부 패키지 해외 날씨 리조트 동남아 여행 직항 항공권,1,0,0.0,0,0.0
20250829_CS_NY_MKL_0003,브루클린브리지 윌리엄스버그 덤보 베슬 엣지전망대 뉴욕여행 패키지 아시아나항공,1,0,0.0,0,0.0
20250902_LSR_FUKYO_MKLKLO_0009,후쿠오카 직항 교토 커플여행 날씨 일본여행 여행 리조트 교토 에어텔 나라,1,0,0.0,0,0.0
20250902_LSR_FUKYO_DMKRT_0011,12월 리조트 날씨 캐널시티하카타 후쿠오카타워 직항,1,0,0.0,0,0.0
20250901_LSR_CEBU_DMKTF_0007,12월 직항 리조트 항공권 날씨 여행 일정 동남아,1,0,0.0,0,0.0
20250829_LDW_SYDNEY_CMK_0013,호주 투어 시드니 패키지 6박7일 가족 여행,1,0,0.0,0,0.0
20250829_LDW_SAIPAN_ML_0012,사이판 스노클링 자유여행 괌여행 올인클루시브 4박5일 패키지 여행 리조트 항공권 연말 투어,5,0,0.0,0,0.0
20250901_LSR_KOTAKI_MKRP_0005,코타키나발루 말레이시아 날씨 여행 일정 직항,1,0,0.0,0,0.0
20250901_LSR_DANA_MKLKSH_0007,다낭 리조트 패키지 일정 여행 베트남 마사지 날씨 직항,2,0,0.0,0,0.0
20250902_LSR_FUKYO_MKLKSH_0002,후쿠오카 직항 일본여행 교토 해외 간사이공항 날씨,1,0,0.0,0,0.0
20250829_CS_SA4C_ML_0005,남미핵심일주 아르헨티나 브라질 볼리비아 페루 마추픽추 모레노빙하 스위트룸 패키지 일정,1,0,0.0,0,0.0
20250829_KTM__FRANCE_MKL_0011,프랑스 패키지 노르망디 직항 삘라사구 관광 오르세미술관,3,0,0.0,0,0.0
